Series,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,noc
NY.GDP.PCAP.KD.ZG,-3.1343699980034216,-2.989598689473496,-2.8448273809435136,-2.700056072413588,-2.5552847638836624,-2.41051345535368,-2.2657421468237544,-2.120970838293772,-1.9761995297638464,-1.8314282212339208,-1.6866569127039384,-1.5418856041740128,-1.3971142956440872,-1.2523429871141047,-1.1075716785841792,-0.9628003700541967,-0.8180290615242711,-0.6732577529943455,-0.5284864444643631,-0.3837151359344375,-0.23894382740445508,3.64864854723071,0.795840071093252,-1.01680217228552,-3.30749720231945,-0.290595348322142,3.61465554406624,-2.74949637948961,-3.26252233446822,6.9236172850875,-11.187905298961,-27.5668208369982,-6.62255121235502,10.2299493531342,8.96976165855091,14.0244959298688,9.78017987930293,-10.3611049709411,9.51648443822282,13.6080691237129,7.63002243937019,9.31439713939355,4.85047533419143,5.9242115424577,5.9565695961824,6.06788243935723,6.57292298236362,6.78722893588666,8.3281084229243,4.05313986380152,4.22308382721044,2.82164245514005,1.58487281451019,1.18723435286199,1.98538809180384,2.51682705417127,3.48029321671386,3.89811226746693,4.27631155105293,2.52354084280566,-2.74523867757104,9.92271370805365,6.13901678987099,4.63391022678763,6.130993747913237,ALB
NY.GDP.DEFL.KD.ZG,37.45567855324384,36.87619481247884,36.29671107171407,35.71722733094907,35.1377435901843,34.5582598494193,33.97877610865453,33.39929236788953,32.81980862712453,32.24032488635976,31.66084114559476,31.081357404829987,30.501873664064988,29.922389923300216,29.342906182535216,28.763422441770444,28.183938701005445,27.604454960240446,27.024971219475674,26.445487478710675,25.866003737945903,-2.13957198618188,-0.0177190996205354,-0.0167551716364898,-0.0283602576437829,0.35122234783789,-2.41730042881588,-0.0003060929208373,-0.0005785792721866,0.0036791601611128,-0.431368812605911,35.5142469575829,232.984658866956,125.650814219817,35.8424752083078,9.9706626786687,38.1720581994814,11.2396444802125,6.73085990507577,2.10284998886902,5.6474714679938,3.81085737408868,3.6474762708812,5.19863530307683,3.15236892537025,3.30681814689954,2.47818888688769,4.3867093833438,4.11708542559394,2.41833605890835,4.49314320031891,2.31474379699794,1.04271460643407,0.288745964127756,1.54991706986272,0.563991350160876,-0.632653419095547,1.45073158124514,1.47295348748196,1.25702482876329,0.696542442312051,3.45443198973012,9.86601343108215,4.55308281133995,0.3687191442902531,ALB
NY.ADJ.NNTY.KD,-4742573842.805786,-4479531275.683777,-4216488708.5617676,-3953446141.4397583,-3690403574.317749,-3427361007.1957397,-3164318440.0737305,-2901275872.951721,-2638233305.829712,-2375190738.7077026,-2112148171.5856934,-1849105604.463684,-1586063037.3416748,-1323020470.2196655,-1059977903.0976562,-796935335.975647,-533892768.8536377,-270850201.7316284,-7807634.609619141,255234932.51239014,518277499.6343994,781320066.7564087,1044362633.878418,1307405201.0004272,1570447768.1224365,1833490335.2444458,2096532902.366455,2359575469.4884644,2622618036.6104736,2885660603.732483,3148703170.854492,3411745737.9765015,3674788305.0985107,3937830872.22052,4200873439.3425293,4463916006.464539,4726958573.586548,4141300720.92859,4367948787.67383,5020249952.31388,5583835221.49849,6143316882.72616,6348125991.28982,6676626055.78226,7077054863.13183,7346259875.12024,7867202234.47056,8139863562.98235,8655645528.09475,8724905161.63809,9196299340.98218,9244583825.09795,9150786156.74776,9337623369.13064,9404667163.92655,9442334426.19139,9774867677.91228,9962274800.92881,10336364730.8865,10413965304.3346,10029367735.2716,11277329285.2569,11566065318.75885,11829107885.88086,12092150453.002869,ALB
SH.XPD.CHEX.GD.ZS,2.6634245187916292,2.7343069528119486,2.805189386832268,2.8760718208526157,2.946954254872935,3.0178366888932544,3.0887191229135738,3.1596015569339215,3.230483990954241,3.3013664249745602,3.372248858994908,3.4431312930152274,3.5140137270355467,3.5848961610558945,3.655778595076214,3.726661029096533,3.7975434631168525,3.8684258971372003,3.9393083311575197,4.010190765177839,4.081073199198187,4.151955633218506,4.2228380672388255,4.293720501259145,4.364602935279493,4.435485369299812,4.506367803320131,4.577250237340479,4.648132671360798,4.719015105381118,4.789897539401437,4.860779973421785,4.931662407442104,5.002544841462424,5.073427275482771,5.144309709503091,5.21519214352341,5.2860745775437294,5.356957011564077,5.427839445584397,5.94419765,5.92584515,5.66464472,5.91140795,5.89364862,5.72954512,5.63177013,5.92609119,5.50900269,5.82603931,6.23667669,6.18297672,6.15746212,6.28286266,6.43451118,6.46411896,6.7293272,6.57848787,6.66844559,6.86214113,7.51920271,7.26731825,7.058135428051941,7.12901786207226,7.199900296092579,ALB
SL.UEM.TOTL.ZS,28.151588569518708,27.893717245989308,27.63584592245985,27.37797459893045,27.12010327540105,26.86223195187165,26.60436062834225,26.346489304812792,26.08861798128339,25.83074665775399,25.57287533422459,25.31500401069519,25.057132687165733,24.799261363636333,24.541390040106933,24.283518716577532,24.025647393048132,23.767776069518675,23.509904745989274,23.252033422459874,22.994162098930474,22.736290775401073,22.478419451871616,22.220548128342216,21.962676804812816,21.704805481283415,21.446934157753958,21.189062834224615,20.931191510695157,20.6733201871657,20.415448863636357,10.304,30.007,25.251,20.835,14.607,13.928,16.872,20.042,20.835,19.023,18.57,17.891,16.985,16.306,15.966,15.626,15.966,13.06,13.674,14.086,13.481,13.376,15.866,18.055,17.193,15.418,13.616,12.304,11.466,12.79,12.473,11.588,11.584,11.64782386363629,ALB
NY.GDP.MKTP.KD,27287513102.0047,23574926517.9692,18934192372.5433,25431219789.9959,26916253746.4384,28586918218.7114,27213325104.7285,29785790538.9709,33001535545.8453,35784647535.9509,38956118145.1136,34541720238.0438,44014431054.1345,45692778905.9591,49117415081.8799,51595556464.0758,55922750141.4972,58863496043.6834,64287670491.7832,69094990985.1251,69641260801.0537,71730495901.0051,76321250590.2714,80442600430.4894,84947383262.7469,88090434111.5653,88442796731.3778,87823699342.1405,86945457526.6161,90771059536.331,91497228539.25,90399261261.3893,92026450045.4836,90093893897.2523,89283051957.9535,92675803280.9503,96475509797.8939,97536740346.7102,102511117624.462,105791474981.317,109811551032.014,113105897561.985,119213616030.623,126962501072.824,132675813621.228,139840307556.303,143895676475.62,148356442446.051,152065353507.158,153890137749.297,161276864361.726,166115170292.63,170101934378.987,174524584672.944,181680092645.155,187493855609.345,194806115977.968,197728207717.835,200496402626.147,202300870249.603,192185826737.123,199488888153.133,206670488126.993,215143978140.214,201419809108.042,ALG
NY.GDP.MKTP.KD.ZG,5.11587493018375,-13.605441324599,-19.685041825639,34.3137287802884,5.83941300773422,6.20689821106357,-4.8049709432611,9.45296256279752,10.7962385710967,8.43328028248654,8.86265711008203,-11.3317191682855,27.4239694804128,3.81317629611144,7.49491770454381,5.04534161267405,8.38675648441595,5.2585859864643,9.21483570067687,7.47782655144782,0.790606971851631,2.99999608841051,6.40000411484949,5.40000302450943,5.59999652938872,3.69999725488522,0.40000100279471,-0.699997526217658,-1.00000549066249,4.40000216060025,0.800000580172025,-1.20000058514302,1.80000230244059,-2.10000075769102,-0.899996552733739,3.79999479027065,4.09999847039315,1.09999993888552,5.10000360896734,3.20000155385381,3.80000000133005,2.99999999909843,5.40000000025718,6.50000000017639,4.50000000010007,5.39999999964473,2.9000000001322,3.09999999978203,2.49999999997046,1.20000000003458,4.80000000030061,3.0000000000326,2.39999999959915,2.60000000006077,4.10000000035542,3.19999999974922,3.89999999992476,1.5000000001012,1.40000000013293,0.89999999991042,-5.0,3.8,3.60000000017391,4.10000000000679,2.023300389219756,ALG
EG.ELC.ACCS.ZS,95.87539525691697,95.93853754940709,96.00167984189721,96.06482213438733,96.12796442687745,96.19110671936757,96.2542490118577,96.31739130434781,96.38053359683792,96.44367588932805,96.50681818181816,96.56996047430829,96.6331027667984,96.69624505928851,96.75938735177864,96.82252964426876,96.88567193675888,96.948814229249,97.01195652173911,97.07509881422924,97.13824110671935,97.20138339920948,97.26452569169959,97.3276679841897,97.39081027667983,97.45395256916994,97.51709486166007,97.58023715415018,97.64337944664031,97.70652173913042,97.76966403162054,97.83280632411066,97.89594861660078,97.9590909090909,98.02223320158102,98.08537549407113,98.14851778656126,98.21166007905137,98.2748023715415,98.33794466403161,98.6,98.6,98.6,98.6,98.6,98.6,98.7,98.7,99.3,98.8,98.9,99.0,98.8,99.2,99.3,99.4,99.4,99.5,99.6,99.5,99.7,99.8,100.0,99.85335968379447,99.91650197628458,ALG
EG.CFT.ACCS.ZS,92.41847826086953,92.54565217391303,92.67282608695649,92.79999999999998,92.92717391304348,93.05434782608694,93.18152173913043,93.3086956521739,93.43586956521739,93.56304347826085,93.69021739130434,93.81739130434781,93.9445652173913,94.07173913043476,94.19891304347826,94.32608695652172,94.45326086956521,94.58043478260868,94.70760869565217,94.83478260869563,94.96195652173913,95.08913043478259,95.21630434782608,95.34347826086955,95.47065217391304,95.5978260869565,95.725,95.85217391304346,95.97934782608695,96.10652173913041,96.2336956521739,96.36086956521737,96.48804347826086,96.61521739130433,96.74239130434782,96.86956521739128,96.99673913043478,97.12391304347824,97.25108695652173,97.3782608695652,96.4,97.0,97.4,97.8,98.1,98.4,98.6,98.8,99.0,99.1,99.2,99.3,99.4,99.4,99.5,99.6,99.6,99.7,99.7,99.7,99.7,99.7,99.7,100.4304347826087,100.55760869565216,ALG
SP.POP.GROW,2.7261765051584774,1.77712462109052,1.53703684221733,1.61021945224957,1.73636319617259,1.64624302502042,1.8575152756726,2.22447741197887,2.25292406885326,2.24910987984231,2.23485514176548,2.25304380675294,2.30817098718581,2.37278240368425,2.45257536458332,3.69939562776839,4.81594373956117,3.76843461238997,2.86760142486727,2.98537020862928,3.10213696205313,3.21354609915972,3.2974527326651,3.35320501916948,3.38194161321637,3.39768753510501,3.33093272372226,3.02828554053134,2.74710605415951,2.63176506303593,2.4940676377263,2.3846528039865,2.32375186283265,2.24036926865414,2.10774651269655,1.91804419938335,1.76331956063309,1.68115971162844,1.51057323725397,1.39842912410864,1.40229085828763,1.37593080261361,1.34886695233422,1.35423891111813,1.40727321515229,1.36408196251206,1.44113729642515,1.62790867702938,1.70897167476718,1.79590393152832,1.85870199052442,1.89839428094337,1.94310213435967,1.9667158178046,1.97904881035906,1.99994605069585,1.99343168879913,1.95700247075081,1.9033254281097,1.83944488568624,1.73245672803153,1.65770320084269,1.62833925417918,1.55401932380535,1.6767948186087125,ALG
