name,gender,height,weight,noc,game_year,age,is_host,Sport,AG.LND.TOTL.K2,EG.CFT.ACCS.ZS,EG.ELC.ACCS.ZS,EN.POP.DNST,NY.ADJ.NNTY.KD,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.KD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,NY.GDP.PCAP.KD.ZG,SH.XPD.CHEX.GD.ZS,SL.UEM.TOTL.ZS,SN.ITK.MSFI.ZS,SP.POP.GROW,SP.POP.TOTL
Charity Williams,Female,162,68,CAN,2024,27.0,False,Rugby Sevens,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Charles Philibert-Thiboutot,Male,182,63,CAN,2024,33.0,False,Athletics,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Damian Warner,Male,185,83,CAN,2024,34.0,False,Athletics,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Eleanor Harvey,Female,172,56,CAN,2024,29.0,False,Fencing,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Ellie Black,Female,155,56,CAN,2024,28.0,False,Gymnastics,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015803,38803944.891369104
Eugene Wang,Male,174,80,CAN,2024,38.0,False,Table Tennis,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Evan Dunfee,Male,182,70,CAN,2024,33.0,False,Athletics,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Finlay Knox,Male,191,81,CAN,2024,23.0,False,Swimming,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Heather Bansley,Female,170,66,CAN,2024,36.0,False,Beach Volleyball,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Jacqueline Simoneau,Female,165,51,CAN,2024,27.0,False,Artistic Swimming,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Janine Beckie,Female,173,63,CAN,2024,29.0,False,Soccer,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Javier Acevedo,Male,182,68,CAN,2024,26.0,False,Swimming,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Jessica Phoenix,Female,157,57,CAN,2024,40.0,False,Equestrian,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015803,38803944.891369104
Jessie Fleming,Female,164,55,CAN,2024,26.0,False,Soccer,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Kadeisha Buchanan,Female,170,65,CAN,2024,28.0,False,Soccer,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Kailen Sheridan,Female,177,72,CAN,2024,29.0,False,Soccer,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Katherine Plouffe,Female,190,89,CAN,2024,31.0,False,Basketball 3x3,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Keyara Wardley,Female,166,68,CAN,2024,24.0,False,Rugby Sevens,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Kia Nurse,Female,182,68,CAN,2024,28.0,False,Basketball - Women's,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
